Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,25,2815,2193,1687,205,598,11,24,147,1,11
C:\Users\zzada\Documents\GitHub\NeckClinicMaster\app\src\main,25,2815,2193,1687,205,598,11,24,147,1,11
C:\Users\zzada\Documents\GitHub\NeckClinicMaster\app\src\main\java,23,2561,2017,1559,172,528,11,16,107,0,0
C:\Users\zzada\Documents\GitHub\NeckClinicMaster\app\src\main\java\com,23,2561,2017,1559,172,528,11,16,107,0,0
C:\Users\zzada\Documents\GitHub\NeckClinicMaster\app\src\main\java\com\mokdoryeong,23,2561,2017,1559,172,528,11,16,107,0,0
C:\Users\zzada\Documents\GitHub\NeckClinicMaster\app\src\main\java\com\mokdoryeong\team7,23,2561,2017,1559,172,528,11,16,107,0,0
C:\Users\zzada\Documents\GitHub\NeckClinicMaster\app\src\main\java\com\mokdoryeong\team7\mokdoryeong,23,2561,2017,1559,172,528,11,16,107,0,0
C:\Users\zzada\Documents\GitHub\NeckClinicMaster\app\src\main\jni,2,254,176,128,33,70,0,8,40,1,11
